barrio_codigo,anio,precio_eur_m2,n_subzonas
095,2016,3951.0,1
096,2001,1999.0,1
096,2003,2685.0,1
097,2001,2003.0,1
097,2002,2320.0,1
097,2003,2920.0,1
097,2004,3540.0,1
097,2005,4000.0,1
097,2006,4427.0,1
097,2007,4478.0,1
097,2008,4104.0,1
097,2009,3880.0,1
097,2010,3928.0,1
097,2011,3733.0,1
097,2012,3361.0,1
097,2013,3141.0,1
097,2014,3191.0,1
097,2015,3310.0,1
097,2016,3365.0,1
101,2001,1709.0,1
101,2002,2332.0,1
101,2003,2850.0,1
101,2004,3028.0,1
101,2005,3274.0,1
101,2006,3665.0,1
101,2007,3428.0,1
101,2008,3012.0,1
101,2009,2930.0,1
101,2010,2711.0,1
101,2011,2471.0,1
101,2012,2193.0,1
101,2013,2078.0,1
101,2014,1656.0,1
101,2015,1668.0,1
101,2016,1884.0,1
102,2001,1713.0,1
102,2002,2238.0,1
102,2003,2681.0,1
102,2004,3033.0,1
102,2005,3363.0,1
102,2006,3501.0,1
102,2007,3336.0,1
102,2008,3078.0,1
102,2009,2792.0,1
102,2010,2672.0,1
102,2011,2350.0,1
102,2012,1967.0,1
102,2013,1870.0,1
102,2014,1632.0,1
102,2015,1721.0,1
102,2016,1955.0,1
103,2001,1801.0,1
103,2002,2238.0,1
103,2003,2631.0,1
103,2004,2848.0,1
103,2005,3257.0,1
103,2006,3433.0,1
103,2007,3343.0,1
103,2008,3036.0,1
103,2009,2705.0,1
103,2010,2541.0,1
103,2011,2246.0,1
103,2012,2002.0,1
103,2013,1850.0,1
103,2014,1699.0,1
103,2015,1665.0,1
103,2016,1734.0,1
104,2001,1610.0,1
104,2002,2426.0,1
104,2003,2585.0,1
104,2004,2977.0,1
104,2005,3125.0,1
104,2006,3444.0,1
104,2007,3303.0,1
104,2008,2911.0,1
104,2009,2608.0,1
104,2010,2549.0,1
104,2011,2270.0,1
104,2012,1892.0,1
104,2013,1897.0,1
104,2014,1503.0,1
104,2015,1581.0,1
104,2016,1676.0,1
105,2001,1615.0,1
105,2002,2270.0,1
105,2003,2806.0,1
105,2004,3040.0,1
105,2005,3112.0,1
105,2006,3448.0,1
105,2007,3299.0,1
105,2008,2872.0,1
105,2009,2644.0,1
105,2010,2518.0,1
105,2011,2190.0,1
105,2012,1941.0,1
105,2013,1933.0,1
105,2014,1572.0,1
105,2015,1638.0,1
105,2016,1770.0,1
106,2001,1710.0,1
106,2003,3118.0,1
107,2001,1788.0,1
107,2002,2367.0,1
107,2003,2750.0,1
107,2004,2934.0,1
107,2005,3068.0,1
107,2006,3303.0,1
107,2007,3291.0,1
107,2008,2842.0,1
107,2009,2584.0,1
107,2010,2415.0,1
107,2011,2173.0,1
107,2012,1783.0,1
107,2013,1749.0,1
107,2014,1481.0,1
107,2015,1555.0,1
107,2016,1697.0,1
111,2001,1761.0,1
111,2002,2405.0,1
111,2003,2643.0,1
111,2004,2851.0,1
111,2005,3177.0,1
111,2006,3429.0,1
111,2007,3400.0,1
111,2008,3050.0,1
111,2009,2904.0,1
111,2010,2687.0,1
111,2011,2427.0,1
111,2012,2046.0,1
111,2013,1883.0,1
111,2014,1676.0,1
111,2015,1739.0,1
111,2016,1805.0,1
112,2001,1626.0,1
112,2002,2262.0,1
112,2003,2749.0,1
112,2004,2844.0,1
112,2005,2954.0,1
112,2006,3542.0,1
112,2007,3379.0,1
112,2008,2973.0,1
112,2009,2695.0,1
112,2010,2521.0,1
112,2011,2249.0,1
112,2012,1921.0,1
112,2013,1804.0,1
112,2014,1641.0,1
112,2015,1659.0,1
112,2016,1721.0,1
113,2001,1721.0,1
113,2002,2067.0,1
113,2003,2549.0,1
113,2004,2869.0,1
113,2005,3219.0,1
113,2006,3502.0,1
113,2007,3317.0,1
113,2008,3037.0,1
113,2009,2885.0,1
113,2010,2493.0,1
113,2011,2255.0,1
113,2012,1949.0,1
113,2013,1881.0,1
113,2014,1566.0,1
113,2015,1611.0,1
113,2016,1665.0,1
114,2001,1812.0,1
114,2002,2226.0,1
114,2003,2675.0,1
114,2004,2784.0,1
114,2005,3219.0,1
114,2006,3439.0,1
114,2007,3278.0,1
114,2008,2822.0,1
114,2009,2553.0,1
114,2010,2463.0,1
114,2011,2187.0,1
114,2012,1779.0,1
114,2013,1719.0,1
114,2014,1508.0,1
114,2015,1481.0,1
114,2016,1593.0,1
115,2001,1664.0,1
115,2002,2106.0,1
115,2003,2491.0,1
115,2004,2771.0,1
115,2005,3150.0,1
115,2006,3263.0,1
115,2007,3193.0,1
115,2008,2793.0,1
115,2009,2545.0,1
115,2010,2359.0,1
115,2011,2029.0,1
115,2012,1681.0,1
115,2013,1603.0,1
115,2014,1420.0,1
115,2015,1377.0,1
115,2016,1510.0,1
116,2001,1606.0,1
116,2002,2127.0,1
116,2003,2728.0,1
116,2004,2840.0,1
116,2005,3339.0,1
116,2006,3532.0,1
116,2007,3368.0,1
116,2008,3161.0,1
116,2009,3016.0,2
116,2010,2921.0,2
116,2011,2601.5,2
116,2012,2340.5,2
116,2013,2310.0,2
116,2014,2041.5,2
116,2015,1967.5,2
116,2016,2051.0,2
117,2001,1719.0,1
117,2002,2150.0,1
117,2003,2703.0,1
117,2004,2858.0,1
117,2005,3171.0,1
117,2006,3243.0,1
117,2007,3311.0,1
117,2008,2910.0,1
117,2009,2760.0,1
117,2010,2439.0,1
117,2011,2169.0,1
117,2012,1718.0,1
117,2013,1647.0,1
117,2014,1359.0,1
117,2015,1421.0,1
117,2016,1466.0,1
121,2001,1298.0,1
121,2003,2313.0,1
121,2004,2466.0,1
121,2005,2982.0,1
121,2006,3225.0,1
121,2007,3076.0,1
121,2008,2701.0,1
121,2009,2457.0,1
121,2010,2204.0,1
121,2011,1956.0,1
121,2012,1674.0,1
121,2013,1577.0,1
121,2014,1518.0,1
121,2015,1431.0,1
121,2016,1415.0,1
122,2001,1745.0,1
122,2002,2257.0,1
122,2003,2656.0,1
122,2007,3228.0,1
122,2008,2802.0,1
122,2009,2537.0,1
122,2010,2273.0,1
122,2011,2215.0,1
122,2012,1792.0,1
122,2013,1775.0,1
122,2014,1536.0,1
122,2015,1468.0,1
122,2016,1421.0,1
123,2001,1576.0,1
123,2002,2162.0,1
123,2003,2492.0,1
123,2004,2617.0,1
123,2005,2921.0,1
123,2006,3102.0,1
123,2007,3086.0,1
123,2008,2817.0,1
123,2009,2729.0,1
123,2010,2593.0,1
123,2011,2166.0,1
123,2012,1904.0,1
123,2013,1744.0,1
123,2014,1568.0,1
123,2015,1656.0,1
123,2016,1459.0,1
124,2001,1696.0,1
124,2002,2176.0,1
124,2003,2699.0,1
124,2004,2791.0,1
124,2005,3177.0,1
124,2006,3381.0,1
124,2007,3212.0,1
124,2008,2962.0,1
124,2009,2636.0,1
124,2010,2572.0,1
124,2011,2092.0,1
124,2012,1875.0,1
124,2013,1731.0,1
124,2014,1452.0,1
124,2015,1512.0,1
124,2016,1642.0,1
125,2001,1636.0,1
125,2002,2159.0,1
125,2003,2734.0,1
125,2004,3007.0,1
125,2005,3232.0,1
125,2006,3338.0,1
125,2007,3250.0,1
125,2008,2919.0,1
125,2009,2544.0,1
